"FK_ArtsID,""Antall"",""AntallFlokk"",""RuteID"",""Aar1"",""LinjeIngenObs"",""LinjeIkkeTaksert"",""DatoEndret"""
900,1,NA,818,2009,NA,NA,2009-06-28 12:25:54
1530,3,NA,818,2009,NA,NA,2009-06-28 12:25:54
1540,2,NA,821,2009,NA,NA,2009-06-28 12:38:38
5520,NA,2,821,2009,NA,NA,2009-06-28 12:38:38
1880,1,NA,822,2009,NA,NA,2009-06-28 12:45:16
1970,1,NA,822,2009,NA,NA,2009-06-28 12:45:16
1540,1,NA,822,2009,NA,NA,2009-06-28 12:45:16
3600,1,NA,822,2009,NA,NA,2009-06-28 12:45:16
4860,1,NA,1218,2009,NA,NA,2009-07-01 17:10:53
1450,2,NA,1507,2009,NA,NA,2009-07-02 16:39:00
1510,1,NA,1507,2009,NA,NA,2009-07-02 16:39:00
1530,1,NA,1507,2009,NA,NA,2009-07-02 16:39:00
1880,1,NA,1507,2009,NA,NA,2009-07-02 16:39:00
1530,1,NA,421,2009,NA,NA,2009-07-05 15:46:29
1480,1,NA,421,2009,NA,NA,2009-07-05 15:46:29
1880,2,NA,421,2009,NA,NA,2009-07-05 15:46:29
1510,1,NA,510,2009,NA,NA,2009-07-05 16:41:18
2210,1,NA,510,2009,NA,NA,2009-07-05 16:41:18
2060,1,NA,510,2009,NA,NA,2009-07-05 16:41:18
2000,1,NA,510,2009,NA,NA,2009-07-05 16:41:18
5160,1,NA,510,2009,NA,NA,2009-07-05 16:41:18
1510,1,NA,1726,2009,NA,NA,2009-07-06 21:09:45
3750,1,NA,1726,2009,NA,NA,2009-07-06 21:09:45
1530,2,NA,1504,2009,NA,NA,2009-07-07 12:01:32
2060,1,NA,1212,2009,NA,NA,2009-07-07 18:29:54
720,1,NA,1212,2009,NA,NA,2009-07-07 18:29:54
4900,NA,NA,1212,2009,NA,NA,2009-07-07 18:29:54
1880,2,NA,518,2009,NA,NA,2009-07-07 20:02:11
10,2,NA,1707,2009,NA,NA,2009-07-08 09:47:44
1640,1,NA,535,2009,NA,NA,2009-07-08 13:28:00
2210,1,NA,535,2009,NA,NA,2009-07-08 13:28:00
2200,1,NA,535,2009,NA,NA,2009-07-08 13:28:00
2230,1,NA,535,2009,NA,NA,2009-07-08 13:28:00
2510,2,NA,1625,2009,NA,NA,2009-07-08 15:52:01
3400,1,NA,1625,2009,NA,NA,2009-07-08 15:52:01
4570,1,NA,1625,2009,NA,NA,2009-07-08 15:52:01
2060,NA,NA,1620,2009,NA,NA,2009-07-08 17:28:32
1530,1,NA,1620,2009,NA,NA,2009-07-08 17:28:32
4120,NA,NA,1620,2009,NA,NA,2009-07-08 17:28:32
4930,1,NA,1620,2009,NA,NA,2009-07-08 17:28:32
1510,1,NA,1849,2009,NA,NA,2009-07-15 13:34:24
2210,1,NA,1617,2009,NA,NA,2009-07-15 15:46:26
2060,4,NA,1617,2009,NA,NA,2009-07-15 15:46:26
2350,3,NA,1617,2009,NA,NA,2009-07-15 15:46:26
2000,1,NA,1617,2009,NA,NA,2009-07-15 15:46:26
1880,4,NA,1617,2009,NA,NA,2009-07-15 15:46:26
5780,1,NA,1617,2009,NA,NA,2009-07-15 15:46:26
20,0,NA,1202,2009,NA,NA,2009-07-17 22:06:50
1170,1,NA,1202,2009,NA,NA,2009-07-17 22:06:50
1480,0,NA,1202,2009,NA,NA,2009-07-17 22:06:50
1540,5,NA,1202,2009,NA,NA,2009-07-17 22:06:50
1880,1,NA,1202,2009,NA,NA,2009-07-17 22:06:50
2140,1,NA,1202,2009,NA,NA,2009-07-17 22:06:50
2340,1,NA,1202,2009,NA,NA,2009-07-17 22:06:50
4120,3,NA,1202,2009,NA,NA,2009-07-17 22:06:50
1540,1,NA,444,2009,NA,NA,2009-07-19 09:12:58
720,3,NA,605,2009,NA,NA,2009-07-22 19:29:52
2140,2,NA,605,2009,NA,NA,2009-07-22 19:29:52
3380,2,NA,605,2009,NA,NA,2009-07-22 19:29:52
3570,2,NA,605,2009,NA,NA,2009-07-22 19:29:52
4530,3,NA,605,2009,NA,NA,2009-07-22 19:29:52
2060,1,NA,442,2009,NA,NA,2009-07-24 07:54:57
2430,NA,4,442,2009,NA,NA,2009-07-24 07:54:57
1530,1,NA,442,2009,NA,NA,2009-07-24 07:54:57
4040,1,NA,442,2009,NA,NA,2009-07-24 07:54:57
1640,1,NA,433,2009,NA,NA,2009-07-24 09:01:14
2090,1,NA,433,2009,NA,NA,2009-07-24 09:01:14
1600,NA,NA,433,2009,NA,NA,2009-07-24 09:01:14
2140,1,NA,604,2009,NA,NA,2009-07-27 21:02:54
1550,1,NA,604,2009,NA,NA,2009-07-27 21:02:54
720,2,NA,604,2009,NA,NA,2009-07-27 21:02:54
900,2,NA,604,2009,NA,NA,2009-07-27 21:02:54
3760,1,NA,604,2009,NA,NA,2009-07-27 21:02:54
4900,1,NA,604,2009,NA,NA,2009-07-27 21:02:54
4070,1,NA,604,2009,NA,NA,2009-07-27 21:02:54
4570,1,NA,604,2009,NA,NA,2009-07-27 21:02:54
5480,1,NA,604,2009,NA,NA,2009-07-27 21:02:54
1500,1,NA,301,2009,NA,NA,2009-07-27 22:27:36
1510,1,NA,301,2009,NA,NA,2009-07-27 22:27:36
2140,1,NA,301,2009,NA,NA,2009-07-27 22:27:36
4900,2,NA,301,2009,NA,NA,2009-07-27 22:27:36
5520,NA,2,301,2009,NA,NA,2009-07-27 22:27:36
5500,1,NA,408,2009,NA,NA,2009-08-02 14:39:04
4530,1,NA,1610,2009,NA,NA,2009-08-03 23:39:30
1970,1,NA,536,2009,NA,NA,2009-08-04 00:12:29
1410,1,NA,1518,2009,NA,NA,2009-08-04 14:58:00
10,1,NA,1519,2009,NA,NA,2009-08-04 15:00:24
1510,1,NA,1519,2009,NA,NA,2009-08-04 15:00:24
1850,1,NA,1519,2009,NA,NA,2009-08-04 15:00:24
1880,1,NA,1520,2009,NA,NA,2009-08-04 15:05:25
2060,1,NA,1520,2009,NA,NA,2009-08-04 15:05:25
2140,1,NA,1520,2009,NA,NA,2009-08-04 15:05:25
2200,1,NA,1520,2009,NA,NA,2009-08-04 15:05:25
3380,1,NA,810,2009,NA,NA,2009-08-05 20:09:37
390,3,NA,1631,2009,NA,NA,2009-08-06 12:25:09
590,31,164,1631,2009,NA,NA,2009-08-06 12:25:09
710,1,NA,1631,2009,NA,NA,2009-08-06 12:25:09
720,1,NA,1631,2009,NA,NA,2009-08-06 12:25:09
950,1,NA,1631,2009,NA,NA,2009-08-06 12:25:09
1420,1,NA,1631,2009,NA,NA,2009-08-06 12:25:09
1510,2,NA,1631,2009,NA,NA,2009-08-06 12:25:09
1820,4,NA,1631,2009,NA,NA,2009-08-06 12:25:09
2230,2,NA,1822,2009,NA,NA,2009-08-06 15:54:18
2210,2,NA,1822,2009,NA,NA,2009-08-06 15:54:18
4120,2,NA,1822,2009,NA,NA,2009-08-06 15:54:18
4070,1,NA,1822,2009,NA,NA,2009-08-06 15:54:18
1510,1,NA,504,2009,NA,NA,2009-08-06 20:24:31
4900,2,NA,504,2009,NA,NA,2009-08-06 20:24:31
4820,1,NA,504,2009,NA,NA,2009-08-06 20:24:31
1480,1,NA,507,2009,NA,NA,2009-08-06 21:40:00
1880,2,NA,507,2009,NA,NA,2009-08-06 21:40:00
1640,1,NA,507,2009,NA,NA,2009-08-06 21:40:00
2140,1,NA,507,2009,NA,NA,2009-08-06 21:40:00
870,5,NA,507,2009,NA,NA,2009-08-06 21:40:00
2060,1,NA,507,2009,NA,NA,2009-08-06 21:40:00
1640,1,NA,511,2009,NA,NA,2009-08-07 09:40:01
1880,1,NA,511,2009,NA,NA,2009-08-07 09:40:01
2090,1,NA,511,2009,NA,NA,2009-08-07 09:40:01
5740,1,NA,511,2009,NA,NA,2009-08-07 09:40:01
1530,2,NA,1823,2009,NA,NA,2009-08-07 12:40:00
1540,1,NA,1823,2009,NA,NA,2009-08-07 12:40:00
1880,6,NA,1823,2009,NA,NA,2009-08-07 12:40:00
1200,1,NA,1823,2009,NA,NA,2009-08-07 12:40:00
870,2,NA,1854,2009,NA,NA,2009-08-09 13:14:15
2140,1,NA,1854,2009,NA,NA,2009-08-09 13:14:15
1510,NA,NA,1854,2009,NA,NA,2009-08-09 13:14:15
3410,1,NA,1854,2009,NA,NA,2009-08-09 13:14:15
800,2,NA,1813,2009,NA,NA,2009-08-09 16:08:29
900,1,NA,1813,2009,NA,NA,2009-08-09 16:08:29
2060,2,NA,1813,2009,NA,NA,2009-08-09 16:08:29
870,1,NA,1813,2009,NA,NA,2009-08-09 16:08:29
2230,1,NA,1813,2009,NA,NA,2009-08-09 16:08:29
2090,2,NA,1813,2009,NA,NA,2009-08-09 16:08:29
1530,1,NA,1809,2009,NA,NA,2009-08-09 16:11:00
1540,1,NA,1809,2009,NA,NA,2009-08-09 16:11:00
2520,1,NA,1810,2009,NA,NA,2009-08-09 16:13:41
1130,NA,NA,1624,2009,NA,NA,2009-08-09 19:57:52
5320,1,NA,1624,2009,NA,NA,2009-08-09 19:57:52
3700,5,NA,1624,2009,NA,NA,2009-08-09 19:57:52
1060,1,NA,1865,2009,NA,NA,2009-08-10 12:09:36
1270,1,NA,1865,2009,NA,NA,2009-08-10 12:09:36
1530,2,NA,1865,2009,NA,NA,2009-08-10 12:09:36
1510,2,NA,1865,2009,NA,NA,2009-08-10 12:09:36
1510,1,NA,437,2009,NA,NA,2009-08-10 18:50:46
2230,1,NA,437,2009,NA,NA,2009-08-10 18:50:46
1500,1,NA,437,2009,NA,NA,2009-08-10 18:50:46
3760,1,NA,437,2009,NA,NA,2009-08-10 18:50:46
5790,NA,2,437,2009,NA,NA,2009-08-10 18:50:46
2140,3,NA,1611,2009,NA,NA,2009-08-10 21:12:43
1500,1,NA,1611,2009,NA,NA,2009-08-10 21:12:43
5180,4,NA,1611,2009,NA,NA,2009-08-10 21:12:43
4600,1,NA,1611,2009,NA,NA,2009-08-10 21:12:43
3910,1,NA,1611,2009,NA,NA,2009-08-10 21:12:43
5520,2,NA,1611,2009,NA,NA,2009-08-10 21:12:43
5030,2,NA,1611,2009,NA,NA,2009-08-10 21:12:43
5060,1,NA,1611,2009,NA,NA,2009-08-10 21:12:43
750,1,NA,1607,2009,NA,NA,2009-08-10 21:57:25
1910,NA,NA,1607,2009,NA,NA,2009-08-10 21:57:25
390,NA,NA,1607,2009,NA,NA,2009-08-10 21:57:25
3600,1,NA,1607,2009,NA,NA,2009-08-10 21:57:25
1510,1,NA,1425,2009,NA,NA,2009-08-11 14:05:48
1530,1,NA,1425,2009,NA,NA,2009-08-11 14:05:48
1550,1,NA,514,2009,NA,NA,2009-08-11 21:17:14
1110,1,NA,1708,2009,NA,NA,2009-08-12 12:58:44
1450,2,NA,1503,2009,NA,NA,2009-08-12 16:15:09
1510,1,NA,1503,2009,NA,NA,2009-08-12 16:15:09
2020,1,NA,1503,2009,NA,NA,2009-08-12 16:15:09
2140,1,NA,1503,2009,NA,NA,2009-08-12 16:15:09
3880,NA,5,1503,2009,NA,NA,2009-08-12 16:15:09
