Route_Point_ID;Aar1;Latitude.x;Longitude.x;Hoh_DEM
615_2;2012;60.54985906;8.162000681;1105
615_3;2012;60.55254015;8.161420774;1131
615_4;2012;60.55521237;8.160859234;1156
615_6;2012;60.56055679;8.159735873;1129
615_8;2012;60.56111846;8.17059177;1101
615_9;2012;60.56139447;8.176019977;1092
615_10;2012;60.56167924;8.181448051;1066
615_13;2012;60.55660129;8.188013842;1163
615_17;2012;60.54829995;8.184283809;1044
615_19;2012;60.54774838;8.173431729;1064
615_20;2012;60.54746317;8.167987832;1084
615_1;2013;60.54718684;8.162562029;1086
615_4;2013;60.55521237;8.160859234;1156
615_6;2013;60.56055679;8.159735873;1129
615_7;2013;60.56084222;8.165163658;1113
615_8;2013;60.56111846;8.17059177;1101
615_15;2013;60.55125672;8.18915063;1058
615_19;2013;60.54774838;8.173431729;1064
615_20;2013;60.54746317;8.167987832;1084
615_1;2014;60.54718684;8.162562029;1086
615_2;2014;60.54985906;8.162000681;1105
615_3;2014;60.55254015;8.161420774;1131
615_6;2014;60.56055679;8.159735873;1129
615_7;2014;60.56084222;8.165163658;1113
615_8;2014;60.56111846;8.17059177;1101
615_9;2014;60.56139447;8.176019977;1092
615_10;2014;60.56167924;8.181448051;1066
615_13;2014;60.55660129;8.188013842;1163
615_16;2014;60.54858438;8.189709765;1015
615_17;2014;60.54829995;8.184283809;1044
615_1;2015;60.54718684;8.162562029;1086
615_2;2015;60.54985906;8.162000681;1105
615_3;2015;60.55254015;8.161420774;1131
615_4;2015;60.55521237;8.160859234;1156
615_6;2015;60.56055679;8.159735873;1129
615_7;2015;60.56084222;8.165163658;1113
615_8;2015;60.56111846;8.17059177;1101
615_9;2015;60.56139447;8.176019977;1092
615_10;2015;60.56167924;8.181448051;1066
615_11;2015;60.56195492;8.186894684;1054
615_13;2015;60.55660129;8.188013842;1163
615_14;2015;60.55392906;8.1885914;1135
615_15;2015;60.55125672;8.18915063;1058
615_16;2015;60.54858438;8.189709765;1015
615_17;2015;60.54829995;8.184283809;1044
615_18;2015;60.54802427;8.178857722;1057
615_19;2015;60.54774838;8.173431729;1064
615_20;2015;60.54746317;8.167987832;1084
615_1;2016;60.54718684;8.162562029;1086
615_2;2016;60.54985906;8.162000681;1105
615_3;2016;60.55254015;8.161420774;1131
615_4;2016;60.55521237;8.160859234;1156
