Id;Aar;RuteNr;PktNr;FK_Vegetasjonstype1;Dekningsgrad1;;;;;;;
3491;2005;1602;4;22;100;;;;;;;
3492;2005;1602;5;22;100;;;;;;;
3493;2005;1602;6;13;50;;;;;;;
3494;2005;1602;7;13;50;;;;;;;
3495;2005;1602;8;22;90;;;;;;;
3496;2005;1602;9;22;100;;;;;;;
3497;2005;1602;10;13;100;;;;;;;
3498;2005;1602;11;22;100;;;;;;;
3499;2005;1602;12;22;70;;;;;;;
3500;2005;1602;13;22;100;;;;;;;
3501;2005;1602;14;22;70;;;;;;;
3502;2005;1602;15;22;100;;;;;;;
3503;2005;1602;16;21;50;;;;;;;
3504;2005;1602;17;21;50;;;;;;;
3505;2005;1602;18;21;70;;;;;;;
3506;2005;1602;19;22;80;;;;;;;
3507;2005;1602;20;22;100;;;;;;;
3508;2005;1603;1;24;100;;;;;;;
3509;2005;1603;2;24;100;;;;;;;
3510;2005;1603;3;24;100;;;;;;;
3511;2005;1603;4;24;100;;;;;;;
3512;2005;1603;5;24;100;;;;;;;
3513;2005;1603;6;24;100;;;;;;;
3514;2005;1603;7;24;100;;;;;;;
3515;2005;1603;8;24;100;;;;;;;
3516;2005;1603;9;24;100;;;;;;;
3517;2005;1603;10;24;100;;;;;;;
3518;2005;1603;11;24;100;;;;;;;
3519;2005;1603;12;24;100;;;;;;;
3520;2005;1603;13;24;100;;;;;;;
3521;2005;1603;14;24;100;;;;;;;
3522;2005;1603;15;24;100;;;;;;;
3523;2005;1603;16;24;100;;;;;;;
3524;2005;1603;17;24;100;;;;;;;
3525;2005;1603;18;24;100;;;;;;;
3526;2005;1603;19;24;100;;;;;;;
3527;2005;1603;20;24;100;;;;;;;
3528;2005;1604;1;22;70;;;;;;;
3529;2005;1604;2;22;80;;;;;;;
3530;2005;1604;3;21;50;;;;;;;
3531;2005;1604;4;23;80;;;;;;;
3532;2005;1604;5;22;90;;;;;;;
3533;2005;1604;6;13;50;;;;;;;
3534;2005;1604;7;22;70;;;;;;;
3535;2005;1604;8;22;100;;;;;;;
3536;2005;1604;9;23;100;;;;;;;
3537;2005;1604;10;22;70;;;;;;;
3538;2005;1604;11;13;50;;;;;;;
3539;2005;1604;12;22;70;;;;;;;
3540;2005;1604;13;13;50;;;;;;;
3541;2005;1604;14;22;100;;;;;;;
3542;2005;1604;15;22;70;;;;;;;
3543;2005;1604;16;22;80;;;;;;;
3544;2005;1604;17;22;80;;;;;;;
3545;2005;1604;18;22;80;;;;;;;
3546;2005;1604;19;22;70;;;;;;;
3547;2005;1604;20;22;80;;;;;;;
3548;2005;1605;1;21;90;;;;;;;
